"nspname","oid","typnamespace","typname","typtype","typrelid","typnotnull","relkind","elemtypoid","elemtypname","elemrelkind","elemtyptype","ord"
"pg_catalog",2970,11,"txid_snapshot","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",23,11,"int4","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",24,11,"regproc","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",25,11,"text","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",26,11,"oid","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",27,11,"tid","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",28,11,"xid","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",29,11,"cid","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",30,11,"oidvector","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",114,11,"json","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",142,11,"xml","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",194,11,"pg_node_tree","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3361,11,"pg_ndistinct","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3402,11,"pg_dependencies","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",5017,11,"pg_mcv_list","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",5069,11,"xid8","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",600,11,"point","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",601,11,"lseg","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",602,11,"path","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",603,11,"box","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",604,11,"polygon","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",628,11,"line","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",700,11,"float4","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",701,11,"float8","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",718,11,"circle","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",790,11,"money","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",829,11,"macaddr","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",869,11,"inet","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",650,11,"cidr","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",774,11,"macaddr8","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1033,11,"aclitem","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1042,11,"bpchar","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1043,11,"varchar","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1082,11,"date","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1083,11,"time","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1114,11,"timestamp","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1184,11,"timestamptz","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1186,11,"interval","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1266,11,"timetz","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1560,11,"bit","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1562,11,"varbit","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1700,11,"numeric","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",1790,11,"refcursor","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2202,11,"regprocedure","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2203,11,"regoper","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2204,11,"regoperator","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2205,11,"regclass","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",4191,11,"regcollation","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2206,11,"regtype","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",4096,11,"regrole","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",4089,11,"regnamespace","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2950,11,"uuid","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3220,11,"pg_lsn","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3614,11,"tsvector","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3642,11,"gtsvector","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3615,11,"tsquery","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3734,11,"regconfig","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3769,11,"regdictionary","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3802,11,"jsonb","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",4072,11,"jsonpath","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",22,11,"int2vector","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",5038,11,"pg_snapshot","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2249,11,"record","p",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",17,11,"bytea","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",16,11,"bool","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",2278,11,"void","p",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",18,11,"char","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",19,11,"name","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",20,11,"int8","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",21,11,"int2","b",0,False,NULL,NULL,NULL,NULL,NULL,0
"pg_catalog",3926,11,"int8range","r",0,False,NULL,20,"int8",NULL,"b",1
"pg_catalog",3904,11,"int4range","r",0,False,NULL,23,"int4",NULL,"b",1
"pg_catalog",3906,11,"numrange","r",0,False,NULL,1700,"numeric",NULL,"b",1
"pg_catalog",3908,11,"tsrange","r",0,False,NULL,1114,"timestamp",NULL,"b",1
"pg_catalog",3910,11,"tstzrange","r",0,False,NULL,1184,"timestamptz",NULL,"b",1
"pg_catalog",3912,11,"daterange","r",0,False,NULL,1082,"date",NULL,"b",1
"information_schema",13183,13158,"yes_or_no","d",0,False,NULL,1043,"varchar",NULL,"b",3
"information_schema",13181,13158,"time_stamp","d",0,False,NULL,1184,"timestamptz",NULL,"b",3
"information_schema",13174,13158,"character_data","d",0,False,NULL,1043,"varchar",NULL,"b",3
"information_schema",13171,13158,"cardinal_number","d",0,False,NULL,23,"int4",NULL,"b",3
"information_schema",13176,13158,"sql_identifier","d",0,False,NULL,19,"name",NULL,"b",3
"information_schema",13182,13158,"_yes_or_no","a",0,False,NULL,13183,"yes_or_no",NULL,"d",4
"pg_catalog",2287,11,"_record","a",0,False,NULL,2249,"record",NULL,"p",4
"pg_catalog",1000,11,"_bool","a",0,False,NULL,16,"bool",NULL,"b",4
"pg_catalog",1001,11,"_bytea","a",0,False,NULL,17,"bytea",NULL,"b",4
"pg_catalog",1002,11,"_char","a",0,False,NULL,18,"char",NULL,"b",4
"pg_catalog",1003,11,"_name","a",0,False,NULL,19,"name",NULL,"b",4
"pg_catalog",1016,11,"_int8","a",0,False,NULL,20,"int8",NULL,"b",4
"pg_catalog",1005,11,"_int2","a",0,False,NULL,21,"int2",NULL,"b",4
"pg_catalog",1006,11,"_int2vector","a",0,False,NULL,22,"int2vector",NULL,"b",4
"pg_catalog",1007,11,"_int4","a",0,False,NULL,23,"int4",NULL,"b",4
"pg_catalog",1008,11,"_regproc","a",0,False,NULL,24,"regproc",NULL,"b",4
"pg_catalog",1009,11,"_text","a",0,False,NULL,25,"text",NULL,"b",4
"pg_catalog",1028,11,"_oid","a",0,False,NULL,26,"oid",NULL,"b",4
"pg_catalog",1010,11,"_tid","a",0,False,NULL,27,"tid",NULL,"b",4
"pg_catalog",1011,11,"_xid","a",0,False,NULL,28,"xid",NULL,"b",4
"pg_catalog",1012,11,"_cid","a",0,False,NULL,29,"cid",NULL,"b",4
"pg_catalog",1013,11,"_oidvector","a",0,False,NULL,30,"oidvector",NULL,"b",4
"pg_catalog",199,11,"_json","a",0,False,NULL,114,"json",NULL,"b",4
"pg_catalog",143,11,"_xml","a",0,False,NULL,142,"xml",NULL,"b",4
"pg_catalog",271,11,"_xid8","a",0,False,NULL,5069,"xid8",NULL,"b",4
"pg_catalog",1017,11,"_point","a",0,False,NULL,600,"point",NULL,"b",4
"pg_catalog",1018,11,"_lseg","a",0,False,NULL,601,"lseg",NULL,"b",4
"pg_catalog",1019,11,"_path","a",0,False,NULL,602,"path",NULL,"b",4
"pg_catalog",1020,11,"_box","a",0,False,NULL,603,"box",NULL,"b",4
"pg_catalog",1027,11,"_polygon","a",0,False,NULL,604,"polygon",NULL,"b",4
"pg_catalog",629,11,"_line","a",0,False,NULL,628,"line",NULL,"b",4
"pg_catalog",1021,11,"_float4","a",0,False,NULL,700,"float4",NULL,"b",4
"pg_catalog",1022,11,"_float8","a",0,False,NULL,701,"float8",NULL,"b",4
"pg_catalog",719,11,"_circle","a",0,False,NULL,718,"circle",NULL,"b",4
"pg_catalog",791,11,"_money","a",0,False,NULL,790,"money",NULL,"b",4
"pg_catalog",1040,11,"_macaddr","a",0,False,NULL,829,"macaddr",NULL,"b",4
"pg_catalog",1041,11,"_inet","a",0,False,NULL,869,"inet",NULL,"b",4
"pg_catalog",651,11,"_cidr","a",0,False,NULL,650,"cidr",NULL,"b",4
"pg_catalog",775,11,"_macaddr8","a",0,False,NULL,774,"macaddr8",NULL,"b",4
"pg_catalog",1034,11,"_aclitem","a",0,False,NULL,1033,"aclitem",NULL,"b",4
"pg_catalog",1014,11,"_bpchar","a",0,False,NULL,1042,"bpchar",NULL,"b",4
"pg_catalog",1015,11,"_varchar","a",0,False,NULL,1043,"varchar",NULL,"b",4
"pg_catalog",1182,11,"_date","a",0,False,NULL,1082,"date",NULL,"b",4
"pg_catalog",1183,11,"_time","a",0,False,NULL,1083,"time",NULL,"b",4
"pg_catalog",1115,11,"_timestamp","a",0,False,NULL,1114,"timestamp",NULL,"b",4
"pg_catalog",1185,11,"_timestamptz","a",0,False,NULL,1184,"timestamptz",NULL,"b",4
"pg_catalog",1187,11,"_interval","a",0,False,NULL,1186,"interval",NULL,"b",4
"pg_catalog",1270,11,"_timetz","a",0,False,NULL,1266,"timetz",NULL,"b",4
