"oid","typname","typnamespace","typtype","typrelid","typnotnull","typbasetype","typelem","typreceive","typcategory"
2970,"txid_snapshot",11,"b",0,"False",0,0,2402,"B"
23,"int4",11,"b",0,"False",0,0,2402,"B"
24,"regproc",11,"b",0,"False",0,0,2402,"B"
25,"text",11,"b",0,"False",0,0,2402,"B"
26,"oid",11,"b",0,"False",0,0,2402,"B"
27,"tid",11,"b",0,"False",0,0,2402,"B"
28,"xid",11,"b",0,"False",0,0,2402,"B"
29,"cid",11,"b",0,"False",0,0,2402,"B"
30,"oidvector",11,"b",0,"False",0,0,2401,"B"
114,"json",11,"b",0,"False",0,0,2402,"B"
142,"xml",11,"b",0,"False",0,0,2402,"B"
194,"pg_node_tree",11,"b",0,"False",0,0,2402,"B"
3361,"pg_ndistinct",11,"b",0,"False",0,0,2402,"B"
3402,"pg_dependencies",11,"b",0,"False",0,0,2402,"B"
5017,"pg_mcv_list",11,"b",0,"False",0,0,2402,"B"
5069,"xid8",11,"b",0,"False",0,0,2402,"B"
600,"point",11,"b",0,"False",0,0,2402,"B"
601,"lseg",11,"b",0,"False",0,0,2402,"B"
602,"path",11,"b",0,"False",0,0,2402,"B"
603,"box",11,"b",0,"False",0,0,2402,"B"
604,"polygon",11,"b",0,"False",0,0,2402,"B"
628,"line",11,"b",0,"False",0,0,2402,"B"
700,"float4",11,"b",0,"False",0,0,2402,"B"
701,"float8",11,"b",0,"False",0,0,2402,"B"
718,"circle",11,"b",0,"False",0,0,2402,"B"
790,"money",11,"b",0,"False",0,0,2402,"B"
829,"macaddr",11,"b",0,"False",0,0,2402,"B"
869,"inet",11,"b",0,"False",0,0,2402,"B"
650,"cidr",11,"b",0,"False",0,0,2402,"B"
774,"macaddr8",11,"b",0,"False",0,0,2402,"B"
1033,"aclitem",11,"b",0,"False",0,0,2402,"B"
1042,"bpchar",11,"b",0,"False",0,0,2402,"B"
1043,"varchar",11,"b",0,"False",0,0,2402,"B"
1082,"date",11,"b",0,"False",0,0,2402,"B"
1083,"time",11,"b",0,"False",0,0,2402,"B"
1114,"timestamp",11,"b",0,"False",0,0,2402,"B"
1184,"timestamptz",11,"b",0,"False",0,0,2402,"B"
1186,"interval",11,"b",0,"False",0,0,2402,"B"
1266,"timetz",11,"b",0,"False",0,0,2402,"B"
1560,"bit",11,"b",0,"False",0,0,2402,"B"
